Entity,Code,Year,Private investment in AI by region
China,CHN,2013,717196154
China,CHN,2014,771392259
China,CHN,2015,2385249652
China,CHN,2016,5102962753
China,CHN,2017,7314146387
China,CHN,2018,15069709833
China,CHN,2019,14895814015
China,CHN,2020,17871570528
China,CHN,2021,25891134262
China,CHN,2022,13951917588
China,CHN,2023,8419883132
China,CHN,2024,8109463468
China,CHN,2025,10446895788
Europe,OWID_EUR,2013,763586708
Europe,OWID_EUR,2014,1489116674
Europe,OWID_EUR,2015,975011980
Europe,OWID_EUR,2016,1392650570
Europe,OWID_EUR,2017,2861612653
Europe,OWID_EUR,2018,3240709083
Europe,OWID_EUR,2019,6714982701
Europe,OWID_EUR,2020,6493127811
Europe,OWID_EUR,2021,14647912025
Europe,OWID_EUR,2022,13689530446
Europe,OWID_EUR,2023,10796100014
Europe,OWID_EUR,2024,16865450460
Europe,OWID_EUR,2025,17608219360
United States,USA,2013,4211478899
United States,USA,2014,7963123765
United States,USA,2015,10632666176
United States,USA,2016,11464266076
United States,USA,2017,15548779419
United States,USA,2018,22716604134
United States,USA,2019,33994613790
United States,USA,2020,46294131458
United States,USA,2021,86855560303
United States,USA,2022,56651417674
United States,USA,2023,64353629904
United States,USA,2024,94629349595
United States,USA,2025,240612883142
World,OWID_WRL,2013,6011928538
World,OWID_WRL,2014,10940620567
World,OWID_WRL,2015,15258740290
World,OWID_WRL,2016,19340762642
World,OWID_WRL,2017,28434515011
World,OWID_WRL,2018,46508654628
World,OWID_WRL,2019,61663636439
World,OWID_WRL,2020,77252637155
World,OWID_WRL,2021,145398696899
World,OWID_WRL,2022,104637757614
World,OWID_WRL,2023,92792585552
World,OWID_WRL,2024,130850813417
World,OWID_WRL,2025,290094148769