Entity,Code,Year,AI scholarly publications - Field: All
Liechtenstein,LIE,2020,15
Liechtenstein,LIE,2021,10
Liechtenstein,LIE,2022,20
Liechtenstein,LIE,2023,18
Liechtenstein,LIE,2024,12
Lithuania,LTU,2016,96
Lithuania,LTU,2017,104
Lithuania,LTU,2018,110
Lithuania,LTU,2019,139
Lithuania,LTU,2020,180
Lithuania,LTU,2021,245
Lithuania,LTU,2022,246
Lithuania,LTU,2023,282
Lithuania,LTU,2024,297
Luxembourg,LUX,2016,132
Luxembourg,LUX,2017,148
Luxembourg,LUX,2018,177
Luxembourg,LUX,2019,169
Luxembourg,LUX,2020,238
Luxembourg,LUX,2021,248
Luxembourg,LUX,2022,242
Luxembourg,LUX,2023,330
Luxembourg,LUX,2024,314
Madagascar,MDG,2016,1
Madagascar,MDG,2017,2
Madagascar,MDG,2018,3
Madagascar,MDG,2019,11
Madagascar,MDG,2020,11
Madagascar,MDG,2021,16
Madagascar,MDG,2022,6
Madagascar,MDG,2023,16
Madagascar,MDG,2024,12
Malawi,MWI,2017,1
Malawi,MWI,2018,1
Malawi,MWI,2019,4
Malawi,MWI,2020,4
Malawi,MWI,2021,8
Malawi,MWI,2022,15
Malawi,MWI,2023,29
Malawi,MWI,2024,35
Malaysia,MYS,2016,1545
Malaysia,MYS,2017,1644
Malaysia,MYS,2018,1994
Malaysia,MYS,2019,2216
Malaysia,MYS,2020,2299
Malaysia,MYS,2021,3269
Malaysia,MYS,2022,3353
Malaysia,MYS,2023,3914
Malaysia,MYS,2024,4243
Maldives,MDV,2017,1
Maldives,MDV,2018,1
Maldives,MDV,2019,2
Maldives,MDV,2020,4
Maldives,MDV,2021,1
Maldives,MDV,2022,7
Maldives,MDV,2023,5
Maldives,MDV,2024,6
Mali,MLI,2016,3
Mali,MLI,2017,5
Mali,MLI,2018,3
Mali,MLI,2019,1
Mali,MLI,2020,4
Mali,MLI,2021,3
Mali,MLI,2022,10
Mali,MLI,2023,5
Mali,MLI,2024,4
Malta,MLT,2016,60
Malta,MLT,2017,69
Malta,MLT,2018,62
Malta,MLT,2019,72
Malta,MLT,2020,82
Malta,MLT,2021,107
Malta,MLT,2022,91
Malta,MLT,2023,96
Malta,MLT,2024,89
Marshall Islands,MHL,2017,1
Mauritania,MRT,2016,2
Mauritania,MRT,2017,1
Mauritania,MRT,2018,1
Mauritania,MRT,2020,2
Mauritania,MRT,2021,5
Mauritania,MRT,2022,4
Mauritania,MRT,2023,8
Mauritania,MRT,2024,7
Mauritius,MUS,2016,6
Mauritius,MUS,2017,9
Mauritius,MUS,2018,21
Mauritius,MUS,2019,29
Mauritius,MUS,2020,25
Mauritius,MUS,2021,35
Mauritius,MUS,2022,43
Mauritius,MUS,2023,48
Mauritius,MUS,2024,49
Mexico,MEX,2016,954
Mexico,MEX,2017,909
Mexico,MEX,2018,1159
Mexico,MEX,2019,1327
Mexico,MEX,2020,1364
Mexico,MEX,2021,1461
Mexico,MEX,2022,1242
Mexico,MEX,2023,1358
Mexico,MEX,2024,1456
Moldova,MDA,2016,7
Moldova,MDA,2017,9
Moldova,MDA,2018,6
Moldova,MDA,2019,5
Moldova,MDA,2020,16
Moldova,MDA,2021,13
Moldova,MDA,2022,26
Moldova,MDA,2023,15
Moldova,MDA,2024,16
Monaco,MCO,2017,3
Monaco,MCO,2018,1
Monaco,MCO,2019,1
Monaco,MCO,2020,2
Monaco,MCO,2021,1
Monaco,MCO,2022,2
Monaco,MCO,2023,1
Monaco,MCO,2024,1
Mongolia,MNG,2016,8
Mongolia,MNG,2017,12
Mongolia,MNG,2018,9
Mongolia,MNG,2019,15
Mongolia,MNG,2020,15
Mongolia,MNG,2021,36
Mongolia,MNG,2022,48
Mongolia,MNG,2023,31
Mongolia,MNG,2024,42
Montenegro,MNE,2016,13
Montenegro,MNE,2017,9
Montenegro,MNE,2018,14
Montenegro,MNE,2019,15
Montenegro,MNE,2020,30
Montenegro,MNE,2021,32
Montenegro,MNE,2022,33
Montenegro,MNE,2023,34
Montenegro,MNE,2024,43
Morocco,MAR,2016,487
Morocco,MAR,2017,602
Morocco,MAR,2018,669
Morocco,MAR,2019,723
Morocco,MAR,2020,927
Morocco,MAR,2021,1032
Morocco,MAR,2022,1047
Morocco,MAR,2023,1331
Morocco,MAR,2024,1540
Mozambique,MOZ,2016,3
Mozambique,MOZ,2018,1
Mozambique,MOZ,2019,5
Mozambique,MOZ,2020,6
Mozambique,MOZ,2021,9
Mozambique,MOZ,2022,6
Mozambique,MOZ,2023,16
Mozambique,MOZ,2024,15
Myanmar,MMR,2016,19
Myanmar,MMR,2017,46
Myanmar,MMR,2018,104
Myanmar,MMR,2019,134
Myanmar,MMR,2020,136
Myanmar,MMR,2021,54
Myanmar,MMR,2022,26
Myanmar,MMR,2023,72
Myanmar,MMR,2024,102
Namibia,NAM,2016,7
Namibia,NAM,2017,5
Namibia,NAM,2018,8
Namibia,NAM,2019,2
Namibia,NAM,2020,8
Namibia,NAM,2021,21
Namibia,NAM,2022,9
Namibia,NAM,2023,26
Namibia,NAM,2024,42
Nepal,NPL,2016,16
Nepal,NPL,2017,15
Nepal,NPL,2018,33
Nepal,NPL,2019,60
Nepal,NPL,2020,78
Nepal,NPL,2021,88
Nepal,NPL,2022,131
Nepal,NPL,2023,172
Nepal,NPL,2024,181
Netherlands,NLD,2016,1959
Netherlands,NLD,2017,1962
Netherlands,NLD,2018,2489
Netherlands,NLD,2019,2992
Netherlands,NLD,2020,3602
Netherlands,NLD,2021,4128
Netherlands,NLD,2022,3904
Netherlands,NLD,2023,4554
Netherlands,NLD,2024,3978
New Zealand,NZL,2016,488
New Zealand,NZL,2017,557
New Zealand,NZL,2018,567
New Zealand,NZL,2019,674
New Zealand,NZL,2020,770
New Zealand,NZL,2021,761
New Zealand,NZL,2022,779
New Zealand,NZL,2023,913
New Zealand,NZL,2024,906
Nicaragua,NIC,2016,2
Nicaragua,NIC,2017,1
Nicaragua,NIC,2019,3
Nicaragua,NIC,2020,3
Nicaragua,NIC,2021,4
Nicaragua,NIC,2022,2
Nicaragua,NIC,2023,1
Nicaragua,NIC,2024,1
Niger,NER,2016,1
Niger,NER,2019,2
Niger,NER,2022,5
Niger,NER,2023,3
Niger,NER,2024,5
Nigeria,NGA,2016,161
Nigeria,NGA,2017,229
Nigeria,NGA,2018,220
Nigeria,NGA,2019,437
Nigeria,NGA,2020,559
Nigeria,NGA,2021,777
Nigeria,NGA,2022,844
Nigeria,NGA,2023,1091
Nigeria,NGA,2024,1369
North America,OWID_NAM,2016,27117
North America,OWID_NAM,2017,30477
North America,OWID_NAM,2018,38058
North America,OWID_NAM,2019,47640
North America,OWID_NAM,2020,56601
North America,OWID_NAM,2021,61238
North America,OWID_NAM,2022,53030
North America,OWID_NAM,2023,61329
North America,OWID_NAM,2024,61115
North America and the Caribbean (CSET),,2016,26446
North America and the Caribbean (CSET),,2017,29680
North America and the Caribbean (CSET),,2018,36973
North America and the Caribbean (CSET),,2019,46327
North America and the Caribbean (CSET),,2020,54835
North America and the Caribbean (CSET),,2021,59218
North America and the Caribbean (CSET),,2022,51222
North America and the Caribbean (CSET),,2023,59263
North America and the Caribbean (CSET),,2024,59091
North Korea,PRK,2016,3
North Korea,PRK,2017,3
North Korea,PRK,2018,9
North Korea,PRK,2019,7
North Korea,PRK,2020,5
North Korea,PRK,2021,8
North Korea,PRK,2022,16
North Korea,PRK,2023,14
North Korea,PRK,2024,8
North Macedonia,MKD,2016,48
North Macedonia,MKD,2017,71
North Macedonia,MKD,2018,71
North Macedonia,MKD,2019,69
North Macedonia,MKD,2020,92
North Macedonia,MKD,2021,86
North Macedonia,MKD,2022,106
North Macedonia,MKD,2023,115
North Macedonia,MKD,2024,100
Norway,NOR,2016,546
Norway,NOR,2017,687
Norway,NOR,2018,837
Norway,NOR,2019,1029
Norway,NOR,2020,1284
Norway,NOR,2021,1663
Norway,NOR,2022,1719
Norway,NOR,2023,2022
Norway,NOR,2024,1774
Oceania,OWID_OCE,2016,3578
Oceania,OWID_OCE,2017,3814
Oceania,OWID_OCE,2018,4619
Oceania,OWID_OCE,2019,5707
Oceania,OWID_OCE,2020,6872
Oceania,OWID_OCE,2021,7575
Oceania,OWID_OCE,2022,7161
Oceania,OWID_OCE,2023,8740
Oceania,OWID_OCE,2024,8572
Oceania (CSET),,2016,3543
Oceania (CSET),,2017,3767
Oceania (CSET),,2018,4567
Oceania (CSET),,2019,5643
Oceania (CSET),,2020,6813
Oceania (CSET),,2021,7491
Oceania (CSET),,2022,7063
Oceania (CSET),,2023,8613
Oceania (CSET),,2024,8450
Oman,OMN,2016,51
Oman,OMN,2017,49
Oman,OMN,2018,76
Oman,OMN,2019,96
Oman,OMN,2020,117
Oman,OMN,2021,189
Oman,OMN,2022,253
Oman,OMN,2023,404
Oman,OMN,2024,595
Pakistan,PAK,2016,659
Pakistan,PAK,2017,858
Pakistan,PAK,2018,1163
Pakistan,PAK,2019,1682
Pakistan,PAK,2020,1975
Pakistan,PAK,2021,2769
Pakistan,PAK,2022,3216
Pakistan,PAK,2023,3500
Pakistan,PAK,2024,3469
Palau,PLW,2019,1
Panama,PAN,2016,8
Panama,PAN,2017,13
Panama,PAN,2018,19
Panama,PAN,2019,19
Panama,PAN,2020,17
Panama,PAN,2021,21
Panama,PAN,2022,39
Panama,PAN,2023,25
Panama,PAN,2024,29
Papua New Guinea,PNG,2016,1
Papua New Guinea,PNG,2017,1
Papua New Guinea,PNG,2018,5
Papua New Guinea,PNG,2019,8
Papua New Guinea,PNG,2020,7
Papua New Guinea,PNG,2021,14
Papua New Guinea,PNG,2022,12
Papua New Guinea,PNG,2023,16
Papua New Guinea,PNG,2024,19
Paraguay,PRY,2016,21
Paraguay,PRY,2017,13
Paraguay,PRY,2018,22
Paraguay,PRY,2019,20
Paraguay,PRY,2020,27
Paraguay,PRY,2021,42
Paraguay,PRY,2022,21
Paraguay,PRY,2023,24
Paraguay,PRY,2024,15
Peru,PER,2016,87
Peru,PER,2017,121
Peru,PER,2018,159
Peru,PER,2019,217
Peru,PER,2020,292
Peru,PER,2021,354
Peru,PER,2022,371
Peru,PER,2023,534
Peru,PER,2024,471
Philippines,PHL,2016,113
Philippines,PHL,2017,189
Philippines,PHL,2018,325
Philippines,PHL,2019,454
Philippines,PHL,2020,445
Philippines,PHL,2021,537
Philippines,PHL,2022,742
Philippines,PHL,2023,988
Philippines,PHL,2024,1133
Poland,POL,2016,1834
Poland,POL,2017,1901
Poland,POL,2018,1996
Poland,POL,2019,1954
Poland,POL,2020,2000
Poland,POL,2021,2274
Poland,POL,2022,2121
Poland,POL,2023,2582
Poland,POL,2024,2346
Portugal,PRT,2016,1102
Portugal,PRT,2017,1160
Portugal,PRT,2018,1263
Portugal,PRT,2019,1496
Portugal,PRT,2020,1463
Portugal,PRT,2021,1805
Portugal,PRT,2022,1796
Portugal,PRT,2023,2013
Portugal,PRT,2024,1927
Qatar,QAT,2016,223
Qatar,QAT,2017,218
Qatar,QAT,2018,266
Qatar,QAT,2019,296
Qatar,QAT,2020,420
Qatar,QAT,2021,481
Qatar,QAT,2022,551
Qatar,QAT,2023,694
Qatar,QAT,2024,635
Romania,ROU,2016,842
Romania,ROU,2017,827
Romania,ROU,2018,933
Romania,ROU,2019,1126
Romania,ROU,2020,1282
Romania,ROU,2021,1296
Romania,ROU,2022,1220
Romania,ROU,2023,1328
Romania,ROU,2024,1328
Russia,RUS,2016,1728
Russia,RUS,2017,2216
Russia,RUS,2018,2867
Russia,RUS,2019,3901
Russia,RUS,2020,4391
Russia,RUS,2021,4881
Russia,RUS,2022,3669
Russia,RUS,2023,3641
Russia,RUS,2024,3419
Rwanda,RWA,2016,4
Rwanda,RWA,2017,3
Rwanda,RWA,2018,3
Rwanda,RWA,2019,14
Rwanda,RWA,2020,33
Rwanda,RWA,2021,41
Rwanda,RWA,2022,52
Rwanda,RWA,2023,114
Rwanda,RWA,2024,92
Saint Kitts and Nevis,KNA,2020,1
Saint Kitts and Nevis,KNA,2021,2
Saint Kitts and Nevis,KNA,2023,4
Saint Kitts and Nevis,KNA,2024,11
Saint Lucia,LCA,2017,1
Saint Lucia,LCA,2020,1
Saint Lucia,LCA,2021,1
Saint Lucia,LCA,2023,5
Saint Lucia,LCA,2024,78
Saint Vincent and the Grenadines,VCT,2023,1
Samoa,WSM,2023,3
Samoa,WSM,2024,1
San Marino,SMR,2017,1
San Marino,SMR,2018,1
San Marino,SMR,2020,2
San Marino,SMR,2021,1
San Marino,SMR,2022,1
San Marino,SMR,2024,1
Sao Tome and Principe,STP,2022,1
Saudi Arabia,SAU,2016,667
Saudi Arabia,SAU,2017,788
Saudi Arabia,SAU,2018,1029
Saudi Arabia,SAU,2019,1589
Saudi Arabia,SAU,2020,2341
Saudi Arabia,SAU,2021,3307
Saudi Arabia,SAU,2022,4784
Saudi Arabia,SAU,2023,5226
Saudi Arabia,SAU,2024,5488
Senegal,SEN,2016,10
Senegal,SEN,2017,18
Senegal,SEN,2018,30
Senegal,SEN,2019,31
Senegal,SEN,2020,47
Senegal,SEN,2021,39
Senegal,SEN,2022,42
Senegal,SEN,2023,71
Senegal,SEN,2024,65
Serbia,SRB,2016,247
Serbia,SRB,2017,260
Serbia,SRB,2018,272
Serbia,SRB,2019,344
Serbia,SRB,2020,346
Serbia,SRB,2021,459
Serbia,SRB,2022,531
Serbia,SRB,2023,540
Serbia,SRB,2024,537
Seychelles,SYC,2018,1
Seychelles,SYC,2022,1
Sierra Leone,SLE,2017,1
Sierra Leone,SLE,2019,3
Sierra Leone,SLE,2020,3
Sierra Leone,SLE,2021,3
Sierra Leone,SLE,2022,2
Sierra Leone,SLE,2023,3
Sierra Leone,SLE,2024,6
Singapore,SGP,2016,1654
Singapore,SGP,2017,1698
Singapore,SGP,2018,2075
Singapore,SGP,2019,2454
Singapore,SGP,2020,2904
Singapore,SGP,2021,3430
Singapore,SGP,2022,3396
Singapore,SGP,2023,4553
Singapore,SGP,2024,4463
Slovakia,SVK,2016,276
Slovakia,SVK,2017,220
Slovakia,SVK,2018,292
Slovakia,SVK,2019,369
Slovakia,SVK,2020,369
Slovakia,SVK,2021,419
Slovakia,SVK,2022,454
Slovakia,SVK,2023,475
Slovakia,SVK,2024,395
Slovenia,SVN,2016,205
Slovenia,SVN,2017,233
Slovenia,SVN,2018,257
Slovenia,SVN,2019,297
Slovenia,SVN,2020,342
Slovenia,SVN,2021,428
Slovenia,SVN,2022,359
Slovenia,SVN,2023,424
Slovenia,SVN,2024,399
Somalia,SOM,2018,2
Somalia,SOM,2019,4
Somalia,SOM,2020,2
Somalia,SOM,2021,7
Somalia,SOM,2022,4
Somalia,SOM,2023,10
Somalia,SOM,2024,28
South Africa,ZAF,2016,358
South Africa,ZAF,2017,320
South Africa,ZAF,2018,403
South Africa,ZAF,2019,511
South Africa,ZAF,2020,729
South Africa,ZAF,2021,833
South Africa,ZAF,2022,845
South Africa,ZAF,2023,1119
South Africa,ZAF,2024,1117
South America,OWID_SAM,2016,3268
South America,OWID_SAM,2017,3720
South America,OWID_SAM,2018,4719
South America,OWID_SAM,2019,5350
South America,OWID_SAM,2020,6174
South America,OWID_SAM,2021,6500
South America,OWID_SAM,2022,5378
South America,OWID_SAM,2023,6281
South America,OWID_SAM,2024,5855
South Korea,KOR,2016,3110
South Korea,KOR,2017,3435
South Korea,KOR,2018,4305
South Korea,KOR,2019,5264
South Korea,KOR,2020,6842
South Korea,KOR,2021,8354
South Korea,KOR,2022,8830
South Korea,KOR,2023,10315
South Korea,KOR,2024,10265
South Sudan,SSD,2022,1
South Sudan,SSD,2024,1
South and Central America (CSET),,2016,3163
South and Central America (CSET),,2017,3664
South and Central America (CSET),,2018,4663
South and Central America (CSET),,2019,5256
South and Central America (CSET),,2020,6053
South and Central America (CSET),,2021,6334
South and Central America (CSET),,2022,5293
South and Central America (CSET),,2023,6150
South and Central America (CSET),,2024,5674
Spain,ESP,2016,3112
Spain,ESP,2017,3504
Spain,ESP,2018,3779
Spain,ESP,2019,4377
Spain,ESP,2020,4768
Spain,ESP,2021,5319
Spain,ESP,2022,5188
Spain,ESP,2023,5882
Spain,ESP,2024,5552
Sri Lanka,LKA,2016,125
Sri Lanka,LKA,2017,179
Sri Lanka,LKA,2018,249
Sri Lanka,LKA,2019,291
Sri Lanka,LKA,2020,424
Sri Lanka,LKA,2021,566
Sri Lanka,LKA,2022,556
Sri Lanka,LKA,2023,590
Sri Lanka,LKA,2024,637
Sudan,SDN,2016,45
Sudan,SDN,2017,62
Sudan,SDN,2018,65
Sudan,SDN,2019,66
Sudan,SDN,2020,53
Sudan,SDN,2021,97
Sudan,SDN,2022,81
Sudan,SDN,2023,89
Sudan,SDN,2024,79
Suriname,SUR,2021,1
Sweden,SWE,2016,1106
Sweden,SWE,2017,1144
Sweden,SWE,2018,1318
Sweden,SWE,2019,1635
Sweden,SWE,2020,2110
Sweden,SWE,2021,2303
Sweden,SWE,2022,2381
Sweden,SWE,2023,2691
Sweden,SWE,2024,2519
Switzerland,CHE,2016,1475
Switzerland,CHE,2017,1716
Switzerland,CHE,2018,2087
Switzerland,CHE,2019,2519
Switzerland,CHE,2020,3154
Switzerland,CHE,2021,3645
Switzerland,CHE,2022,3633
Switzerland,CHE,2023,3815
Switzerland,CHE,2024,3310
Syria,SYR,2016,15
Syria,SYR,2017,10
Syria,SYR,2018,19
Syria,SYR,2019,28
Syria,SYR,2020,45
Syria,SYR,2021,53
Syria,SYR,2022,63
Syria,SYR,2023,67
Syria,SYR,2024,78
Taiwan,TWN,2016,1578
Taiwan,TWN,2017,1647
Taiwan,TWN,2018,1987
Taiwan,TWN,2019,2622
Taiwan,TWN,2020,3086
Taiwan,TWN,2021,3672
Taiwan,TWN,2022,3779
Taiwan,TWN,2023,4098
Taiwan,TWN,2024,4012
Tajikistan,TJK,2018,2
Tajikistan,TJK,2019,4
Tajikistan,TJK,2020,5
Tajikistan,TJK,2021,8
Tajikistan,TJK,2022,3
Tajikistan,TJK,2023,5
Tajikistan,TJK,2024,7
Tanzania,TZA,2016,10
Tanzania,TZA,2017,16
Tanzania,TZA,2018,4
Tanzania,TZA,2019,21
Tanzania,TZA,2020,36
Tanzania,TZA,2021,52
Tanzania,TZA,2022,82
Tanzania,TZA,2023,97
Tanzania,TZA,2024,83
Thailand,THA,2016,585
Thailand,THA,2017,655
Thailand,THA,2018,799
Thailand,THA,2019,898
Thailand,THA,2020,870
Thailand,THA,2021,1173
Thailand,THA,2022,1357
Thailand,THA,2023,1586
Thailand,THA,2024,1812
Togo,TGO,2020,3
Togo,TGO,2021,5
Togo,TGO,2022,5
Togo,TGO,2023,7
Togo,TGO,2024,8
Tonga,TON,2020,1
Tonga,TON,2021,1
Tonga,TON,2023,1
Tonga,TON,2024,2
Trinidad and Tobago,TTO,2016,8
Trinidad and Tobago,TTO,2017,5
Trinidad and Tobago,TTO,2018,5
Trinidad and Tobago,TTO,2019,14
Trinidad and Tobago,TTO,2020,22
Trinidad and Tobago,TTO,2021,19
Trinidad and Tobago,TTO,2022,27
Trinidad and Tobago,TTO,2023,34
Trinidad and Tobago,TTO,2024,32
Tunisia,TUN,2016,774
Tunisia,TUN,2017,702
Tunisia,TUN,2018,670
Tunisia,TUN,2019,619
Tunisia,TUN,2020,764
Tunisia,TUN,2021,790
Tunisia,TUN,2022,793
Tunisia,TUN,2023,939
Tunisia,TUN,2024,930
Turkey,TUR,2016,1519
Turkey,TUR,2017,1793
Turkey,TUR,2018,2158
Turkey,TUR,2019,2381
Turkey,TUR,2020,2863
Turkey,TUR,2021,3630
Turkey,TUR,2022,3934
Turkey,TUR,2023,4608
Turkey,TUR,2024,4962
Turkmenistan,TKM,2023,3
Turkmenistan,TKM,2024,3
Uganda,UGA,2016,8
Uganda,UGA,2017,13
Uganda,UGA,2018,24
Uganda,UGA,2019,21
Uganda,UGA,2020,35
Uganda,UGA,2021,45
Uganda,UGA,2022,53
Uganda,UGA,2023,103
Uganda,UGA,2024,139
Ukraine,UKR,2016,424
Ukraine,UKR,2017,530
Ukraine,UKR,2018,740
Ukraine,UKR,2019,916
Ukraine,UKR,2020,1158
Ukraine,UKR,2021,1075
Ukraine,UKR,2022,993
Ukraine,UKR,2023,1421
Ukraine,UKR,2024,1251
United Arab Emirates,ARE,2016,283
United Arab Emirates,ARE,2017,380
United Arab Emirates,ARE,2018,520
United Arab Emirates,ARE,2019,745
United Arab Emirates,ARE,2020,1030
United Arab Emirates,ARE,2021,1395
United Arab Emirates,ARE,2022,1766
United Arab Emirates,ARE,2023,2590
United Arab Emirates,ARE,2024,2718
United Kingdom,GBR,2016,6936
United Kingdom,GBR,2017,7657
United Kingdom,GBR,2018,9084
United Kingdom,GBR,2019,10899
United Kingdom,GBR,2020,13036
United Kingdom,GBR,2021,14541
United Kingdom,GBR,2022,13666
United Kingdom,GBR,2023,16604
United Kingdom,GBR,2024,15494
United States,USA,2016,22475
United States,USA,2017,25546
United States,USA,2018,32045
United States,USA,2019,40074
United States,USA,2020,47482
United States,USA,2021,50813
United States,USA,2022,43752
United States,USA,2023,50621
United States,USA,2024,50810
Uruguay,URY,2016,32
Uruguay,URY,2017,39
Uruguay,URY,2018,37
Uruguay,URY,2019,48
Uruguay,URY,2020,57
Uruguay,URY,2021,80
Uruguay,URY,2022,65
Uruguay,URY,2023,73
Uruguay,URY,2024,78
Uzbekistan,UZB,2016,5
Uzbekistan,UZB,2017,11
Uzbekistan,UZB,2018,13
Uzbekistan,UZB,2019,67
Uzbekistan,UZB,2020,108
Uzbekistan,UZB,2021,218
Uzbekistan,UZB,2022,175
Uzbekistan,UZB,2023,312
Uzbekistan,UZB,2024,481
Vanuatu,VUT,2024,1
Vatican,VAT,2018,1
Vatican,VAT,2019,1
Vatican,VAT,2021,4
Vatican,VAT,2022,1
Vatican,VAT,2024,1
Venezuela,VEN,2016,51
Venezuela,VEN,2017,64
Venezuela,VEN,2018,45
Venezuela,VEN,2019,65
Venezuela,VEN,2020,41
Venezuela,VEN,2021,49
Venezuela,VEN,2022,45
Venezuela,VEN,2023,32
Venezuela,VEN,2024,45
Vietnam,VNM,2016,561
Vietnam,VNM,2017,533
Vietnam,VNM,2018,702
Vietnam,VNM,2019,1088
Vietnam,VNM,2020,1472
Vietnam,VNM,2021,1766
Vietnam,VNM,2022,1741
Vietnam,VNM,2023,2001
Vietnam,VNM,2024,1831
World,OWID_WRL,2016,138511
World,OWID_WRL,2017,154860
World,OWID_WRL,2018,191092
World,OWID_WRL,2019,235135
World,OWID_WRL,2020,277943
World,OWID_WRL,2021,330919
World,OWID_WRL,2022,335747
World,OWID_WRL,2023,407135
World,OWID_WRL,2024,423018
Yemen,YEM,2016,38
Yemen,YEM,2017,31
Yemen,YEM,2018,33
Yemen,YEM,2019,70
Yemen,YEM,2020,87
Yemen,YEM,2021,173
Yemen,YEM,2022,204
Yemen,YEM,2023,207
Yemen,YEM,2024,187
Zambia,ZMB,2016,1
Zambia,ZMB,2017,3
Zambia,ZMB,2018,4
Zambia,ZMB,2019,17
Zambia,ZMB,2020,10
Zambia,ZMB,2021,17
Zambia,ZMB,2022,19
Zambia,ZMB,2023,41
Zambia,ZMB,2024,24
Zimbabwe,ZWE,2016,8
Zimbabwe,ZWE,2017,6
Zimbabwe,ZWE,2018,12
Zimbabwe,ZWE,2019,14
Zimbabwe,ZWE,2020,15
Zimbabwe,ZWE,2021,19
Zimbabwe,ZWE,2022,26
Zimbabwe,ZWE,2023,56
Zimbabwe,ZWE,2024,48