Year,Country_Region,AI_Index_Score,Investment_Billions_USD,Published_Papers_Thousands,AI_Talent_Pool_Thousands,Primary_Focus_Area
2015,United States,47.9,4.98,14.4,76.6,Generative AI & Enterprise
2015,China,32.6,1.83,18.3,96.8,Computer Vision & Smart City
2015,United Kingdom,29.1,0.83,5.7,22.9,AI Ethics & Deep Learning
2015,Germany,24.4,0.51,4.9,18.3,Industrial Automation & Robotics
2015,France,20.9,0.38,3.8,14.3,Open Source Models & Math Foundations
2015,Japan,26.4,0.61,4.6,20.3,Robotics & Hardware Integration
2015,South Korea,22.1,0.39,3.7,13.5,Semiconductors & Electronics AI
2015,Singapore,18.7,0.1,1.0,3.6,FinTech & GovTech Integration
2015,India,15.3,0.31,6.1,122.2,IT Services & AI Talent Export
2015,Canada,20.4,0.39,3.4,11.7,Reinforcement Learning & Health
2015,Israel,19.5,0.49,2.1,7.8,Cybersecurity & Autonomous Tech
2015,Australia,15.6,0.2,2.4,9.3,Mining & Climate Applications
2015,Brazil,10.1,0.05,1.8,25.4,AgriTech & FinTech
2015,United Arab Emirates,11.8,0.1,0.3,2.0,Sovereign LLMs & Smart Gov
2016,United States,56.1,6.79,17.2,93.5,Generative AI & Enterprise
2016,China,34.8,2.34,20.7,108.5,Computer Vision & Smart City
2016,United Kingdom,29.7,0.95,6.0,24.0,AI Ethics & Deep Learning
2016,Germany,24.8,0.58,5.1,19.1,Industrial Automation & Robotics
2016,France,23.2,0.47,4.3,16.3,Open Source Models & Math Foundations
2016,Japan,26.4,0.68,4.7,20.9,Robotics & Hardware Integration
2016,South Korea,25.1,0.49,4.2,15.7,Semiconductors & Electronics AI
2016,Singapore,19.3,0.13,1.2,4.0,FinTech & GovTech Integration
2016,India,15.6,0.35,6.3,127.9,IT Services & AI Talent Export
2016,Canada,21.9,0.46,3.7,12.8,Reinforcement Learning & Health
2016,Israel,20.4,0.57,2.3,8.4,Cybersecurity & Autonomous Tech
2016,Australia,17.1,0.24,2.7,10.4,Mining & Climate Applications
2016,Brazil,10.3,0.06,1.9,26.4,AgriTech & FinTech
2016,United Arab Emirates,13.4,0.14,0.4,2.4,Sovereign LLMs & Smart Gov
2017,United States,57.5,8.12,18.2,100.4,Generative AI & Enterprise
2017,China,38.8,3.15,24.7,128.0,Computer Vision & Smart City
2017,United Kingdom,30.0,1.07,6.1,25.0,AI Ethics & Deep Learning
2017,Germany,27.8,0.72,5.8,22.1,Industrial Automation & Robotics
2017,France,23.8,0.54,4.5,17.2,Open Source Models & Math Foundations
2017,Japan,28.2,0.81,5.1,23.0,Robotics & Hardware Integration
2017,South Korea,25.6,0.55,4.4,16.5,Semiconductors & Electronics AI
2017,Singapore,21.3,0.18,1.4,4.7,FinTech & GovTech Integration
2017,India,17.2,0.43,7.2,146.1,IT Services & AI Talent Export
2017,Canada,23.5,0.56,4.1,14.2,Reinforcement Learning & Health
2017,Israel,22.2,0.69,2.5,9.4,Cybersecurity & Autonomous Tech
2017,Australia,18.6,0.29,3.0,11.7,Mining & Climate Applications
2017,Brazil,11.0,0.07,2.1,29.3,AgriTech & FinTech
2017,United Arab Emirates,14.3,0.18,0.4,2.7,Sovereign LLMs & Smart Gov
2018,United States,63.0,10.44,20.5,115.5,Generative AI & Enterprise
2018,China,40.8,4.01,27.8,142.9,Computer Vision & Smart City
2018,United Kingdom,31.8,1.27,6.7,27.4,AI Ethics & Deep Learning
2018,Germany,28.8,0.83,6.1,23.7,Industrial Automation & Robotics
2018,France,26.8,0.68,5.2,20.1,Open Source Models & Math Foundations
2018,Japan,31.9,1.02,5.9,26.9,Robotics & Hardware Integration
2018,South Korea,27.7,0.67,4.9,18.5,Semiconductors & Electronics AI
2018,Singapore,24.0,0.26,1.7,5.7,FinTech & GovTech Integration
2018,India,17.7,0.49,7.6,155.6,IT Services & AI Talent Export
2018,Canada,25.9,0.69,4.6,16.3,Reinforcement Learning & Health
2018,Israel,24.4,0.85,2.9,10.7,Cybersecurity & Autonomous Tech
2018,Australia,18.3,0.32,3.0,11.9,Mining & Climate Applications
2018,Brazil,12.3,0.09,2.4,33.8,AgriTech & FinTech
2018,United Arab Emirates,16.1,0.26,0.5,3.2,Sovereign LLMs & Smart Gov
2019,United States,64.1,12.52,21.7,124.1,Generative AI & Enterprise
2019,China,42.1,5.04,30.9,157.4,Computer Vision & Smart City
2019,United Kingdom,34.9,1.56,7.5,31.2,AI Ethics & Deep Learning
2019,Germany,30.7,1.0,6.7,26.2,Industrial Automation & Robotics
2019,France,26.1,0.74,5.2,20.3,Open Source Models & Math Foundations
2019,Japan,31.2,1.13,5.9,27.3,Robotics & Hardware Integration
2019,South Korea,27.2,0.74,4.9,18.9,Semiconductors & Electronics AI
2019,Singapore,24.6,0.33,1.9,6.3,FinTech & GovTech Integration
2019,India,19.0,0.59,8.3,172.6,IT Services & AI Talent Export
2019,Canada,26.6,0.79,4.9,17.3,Reinforcement Learning & Health
2019,Israel,23.6,0.92,2.8,10.7,Cybersecurity & Autonomous Tech
2019,Australia,19.6,0.38,3.4,13.2,Mining & Climate Applications
2019,Brazil,12.5,0.1,2.5,35.6,AgriTech & FinTech
2019,United Arab Emirates,17.3,0.35,0.6,3.8,Sovereign LLMs & Smart Gov
2020,United States,71.0,16.38,24.9,145.5,Generative AI & Enterprise
2020,China,47.8,7.0,37.9,191.7,Computer Vision & Smart City
2020,United Kingdom,35.4,1.78,7.9,32.9,AI Ethics & Deep Learning
2020,Germany,32.3,1.18,7.3,28.6,Industrial Automation & Robotics
2020,France,27.2,0.87,5.6,21.9,Open Source Models & Math Foundations
2020,Japan,33.3,1.35,6.5,30.3,Robotics & Hardware Integration
2020,South Korea,31.0,0.95,5.8,22.3,Semiconductors & Electronics AI
2020,Singapore,26.8,0.45,2.3,7.4,FinTech & GovTech Integration
2020,India,18.7,0.66,8.5,177.4,IT Services & AI Talent Export
2020,Canada,27.7,0.93,5.2,18.7,Reinforcement Learning & Health
2020,Israel,26.7,1.18,3.3,12.7,Cybersecurity & Autonomous Tech
2020,Australia,21.2,0.47,3.7,14.9,Mining & Climate Applications
2020,Brazil,13.6,0.12,2.8,40.4,AgriTech & FinTech
2020,United Arab Emirates,17.6,0.45,0.7,4.2,Sovereign LLMs & Smart Gov
2021,United States,70.3,19.24,25.8,153.2,Generative AI & Enterprise
2021,China,47.3,8.5,40.7,203.9,Computer Vision & Smart City
2021,United Kingdom,38.7,2.2,8.9,37.5,AI Ethics & Deep Learning
2021,Germany,33.4,1.38,7.8,30.9,Industrial Automation & Robotics
2021,France,28.6,1.03,6.1,24.0,Open Source Models & Math Foundations
2021,Japan,36.4,1.67,7.4,34.5,Robotics & Hardware Integration
2021,South Korea,29.8,1.03,5.8,22.4,Semiconductors & Electronics AI
2021,Singapore,28.3,0.61,2.7,8.5,FinTech & GovTech Integration
2021,India,20.7,0.82,9.6,203.9,IT Services & AI Talent Export
2021,Canada,29.1,1.1,5.7,20.5,Reinforcement Learning & Health
2021,Israel,26.9,1.33,3.4,13.3,Cybersecurity & Autonomous Tech
2021,Australia,21.2,0.53,3.9,15.5,Mining & Climate Applications
2021,Brazil,13.2,0.13,2.8,40.8,AgriTech & FinTech
2021,United Arab Emirates,19.2,0.62,0.8,5.0,Sovereign LLMs & Smart Gov
2022,United States,73.4,23.88,28.1,170.3,Generative AI & Enterprise
2022,China,49.6,7.83,46.5,230.8,Computer Vision & Smart City
2022,United Kingdom,39.6,2.54,9.4,40.1,AI Ethics & Deep Learning
2022,Germany,34.3,1.6,8.3,33.1,Industrial Automation & Robotics
2022,France,32.5,1.33,7.1,28.5,Open Source Models & Math Foundations
2022,Japan,36.6,1.89,7.6,36.2,Robotics & Hardware Integration
2022,South Korea,32.2,1.26,6.4,25.3,Semiconductors & Electronics AI
2022,Singapore,31.3,0.85,3.3,10.3,FinTech & GovTech Integration
2022,India,20.2,0.91,9.8,208.4,IT Services & AI Talent Export
2022,Canada,31.0,1.32,6.2,22.8,Reinforcement Learning & Health
2022,Israel,29.4,1.65,3.9,15.1,Cybersecurity & Autonomous Tech
2022,Australia,23.6,0.66,4.4,18.0,Mining & Climate Applications
2022,Brazil,14.4,0.16,3.1,46.4,AgriTech & FinTech
2022,United Arab Emirates,20.0,0.82,1.0,5.7,Sovereign LLMs & Smart Gov
2023,United States,83.6,22.44,33.6,207.0,Generative AI & Enterprise
2023,China,56.3,9.47,57.7,284.0,Computer Vision & Smart City
2023,United Kingdom,41.5,3.01,10.2,43.9,AI Ethics & Deep Learning
2023,Germany,37.0,1.96,9.3,37.4,Industrial Automation & Robotics
2023,France,32.2,1.49,7.3,29.5,Open Source Models & Math Foundations
2023,Japan,39.4,2.31,8.5,40.8,Robotics & Hardware Integration
2023,South Korea,35.0,1.54,7.2,28.6,Semiconductors & Electronics AI
2023,Singapore,31.0,0.61,3.7,11.2,FinTech & GovTech Integration
2023,India,21.3,1.08,10.7,229.8,IT Services & AI Talent Export
2023,Canada,31.9,1.54,6.6,24.5,Reinforcement Learning & Health
2023,Israel,30.8,1.96,4.2,16.6,Cybersecurity & Autonomous Tech
2023,Australia,22.6,0.72,4.4,18.1,Mining & Climate Applications
2023,Brazil,15.3,0.19,3.4,51.5,AgriTech & FinTech
2023,United Arab Emirates,22.0,0.65,1.2,6.8,Sovereign LLMs & Smart Gov
2024,United States,87.4,26.43,36.9,231.4,Generative AI & Enterprise
2024,China,58.9,10.54,66.0,321.9,Computer Vision & Smart City
2024,United Kingdom,44.6,3.67,11.4,49.4,AI Ethics & Deep Learning
2024,Germany,35.6,2.13,9.2,37.6,Industrial Automation & Robotics
2024,France,32.2,1.69,7.6,30.9,Open Source Models & Math Foundations
2024,Japan,41.2,2.74,9.3,44.7,Robotics & Hardware Integration
2024,South Korea,36.8,1.85,7.9,31.6,Semiconductors & Electronics AI
2024,Singapore,32.6,0.76,4.3,13.0,FinTech & GovTech Integration
2024,India,23.2,1.33,12.0,261.4,IT Services & AI Talent Export
2024,Canada,33.7,1.85,7.3,27.2,Reinforcement Learning & Health
2024,Israel,29.5,2.12,4.2,16.6,Cybersecurity & Autonomous Tech
2024,Australia,25.7,0.93,5.2,21.5,Mining & Climate Applications
2024,Brazil,15.6,0.22,3.6,54.9,AgriTech & FinTech
2024,United Arab Emirates,21.9,0.77,1.3,7.5,Sovereign LLMs & Smart Gov
2025,United States,83.7,28.62,37.2,237.8,Generative AI & Enterprise
2025,China,58.0,11.1,71.4,345.1,Computer Vision & Smart City
2025,United Kingdom,45.8,4.28,12.1,53.3,AI Ethics & Deep Learning
2025,Germany,39.4,2.69,10.6,43.8,Industrial Automation & Robotics
2025,France,35.6,2.12,8.7,35.9,Open Source Models & Math Foundations
2025,Japan,40.5,3.06,9.5,46.1,Robotics & Hardware Integration
2025,South Korea,35.1,2.0,7.8,31.7,Semiconductors & Electronics AI
2025,Singapore,35.3,0.98,5.3,15.5,FinTech & GovTech Integration
2025,India,24.9,1.63,13.4,294.6,IT Services & AI Talent Export
2025,Canada,33.9,2.11,7.6,28.6,Reinforcement Learning & Health
2025,Israel,32.4,2.65,4.8,19.2,Cybersecurity & Autonomous Tech
2025,Australia,25.0,1.02,5.3,21.9,Mining & Climate Applications
2025,Brazil,16.2,0.27,3.9,60.1,AgriTech & FinTech
2025,United Arab Emirates,22.4,0.93,1.5,8.4,Sovereign LLMs & Smart Gov
2026,United States,100.0,34.37,41.7,271.0,Generative AI & Enterprise
2026,China,58.9,12.07,79.6,381.8,Computer Vision & Smart City
2026,United Kingdom,46.8,4.97,12.9,57.1,AI Ethics & Deep Learning
2026,Germany,40.4,3.13,11.4,47.1,Industrial Automation & Robotics
2026,France,36.0,2.43,9.2,38.1,Open Source Models & Math Foundations
2026,Japan,41.2,3.54,10.0,49.3,Robotics & Hardware Integration
2026,South Korea,39.4,2.55,9.1,37.2,Semiconductors & Electronics AI
2026,Singapore,38.3,1.27,6.4,18.6,FinTech & GovTech Integration
2026,India,24.3,1.8,13.6,301.6,IT Services & AI Talent Export
2026,Canada,34.0,2.41,8.0,30.2,Reinforcement Learning & Health
2026,Israel,34.2,3.18,5.3,21.3,Cybersecurity & Autonomous Tech
2026,Australia,25.6,1.19,5.6,23.6,Mining & Climate Applications
2026,Brazil,16.4,0.3,4.1,63.7,AgriTech & FinTech
2026,United Arab Emirates,25.0,1.24,1.9,10.4,Sovereign LLMs & Smart Gov
